Gene	CD10	CD31	CD45	EPCAM
ABHD6	3.774192447	12.23942774	4.743815581	4.511495676
ABHD8	2.351420145	1.760048257	2.33834882	3.141990807
ABI1	41.16158123	51.53677733	24.12727244	59.46188573
ABI2	51.75928741	36.05775636	9.443647296	35.49133631
ABI3	2.41128538	34.53039252	16.78660686	1.417313995
ABI3BP	127.0684036	52.99220905	2.916009064	3.8394578
ABL1	49.86725835	30.6794347	13.97761406	29.34502289
ABL2	23.70497305	42.12894285	18.43686935	21.17111617
ABLIM1	16.60370359	102.8505477	15.51708169	115.727946
ABLIM2	3.239536927	7.018642884	2.223818895	5.218646418
ABLIM3	16.75100614	25.82882261	3.382146691	4.426860802
ABO	1.97421726	3.338198389	1.901950538	9.126679797
ABR	59.89694187	52.64131128	66.82253531	54.52736307
ABRACL	15.19664328	18.97689818	15.18089199	45.60874301
ABT1	5.877466725	7.110839613	4.478679297	13.01905025
ABT1P1	1.522854111	1.445822821	1.567060229	1.788814956
ABTB1	10.24697152	7.557253151	9.21575708	7.492940449
ABTB2	5.740002772	1.63284307	2.408419663	6.187377969
AC000032.2	1.520468894	1.631062406	1.66913636	1.918433942
AC000041.8	1.333805026	1.266204777	1.412729662	1.299125513
AC000068.10	1.450233627	1.705566407	1.806338259	2.380221311
AC000068.5	1.455148706	1.57604602	1.855677399	2.660279607
AC000068.9	1.401493574	1.236309541	1.477341439	1.454485154
AC000078.5	1.665733658	1.622232202	1.809456727	2.0228503
AC000081.2	1.431632335	1.220896387	1.412729662	1.314439965
AC000089.3	1.34257322	1.549466358	1.85662745	1.903171311
AC000111.4	1.356477762	1.220896387	1.461673408	1.418987487
AC000120.7	2.784705666	2.354987137	2.807543392	3.802245566
AC000123.2	3.988552104	5.967398797	4.937723126	5.535515116
AC000123.3	1.952415949	2.632598507	2.166665246	2.986193837
AC000123.4	1.656597754	1.750393859	1.711480405	2.346333585
AC000362.1	1.344948957	1.308231443	1.523022224	1.307211805
AC000374.1	1.710906257	1.40617518	1.647084053	1.37938124
AC000403.4	2.81641742	2.252345101	2.269548682	1.694353483
AC002044.1	2.488957549	1.651360288	1.919254125	2.516956578
AC002056.3	1.415476702	1.595596398	1.809128968	1.950870314
AC002056.5	1.349400786	1.632392585	1.465470163	1.378079729
AC002059.10	1.412995017	1.603914299	2.330710442	1.677267376
AC002069.6	1.359365108	1.297511871	1.471477458	1.320101198
AC002075.3	1.348920619	1.255776241	1.65888521	2.807654379
AC002075.4	1.463762974	1.335839779	1.573260972	2.776457963
AC002076.10	1.484493977	1.250328128	1.582292562	1.843796327
AC002116.7	1.52625995	1.280959419	1.527345808	1.653164239
AC002116.8	1.543956782	1.381148276	1.959091492	1.92226237
AC002306.1	1.446491243	1.220896387	2.481049854	1.606220753
AC002310.12	1.841151267	2.069812025	1.833844784	3.611974512
AC002310.17	1.349421754	1.317461943	1.412729662	1.479747004
AC002331.1	1.333805026	1.220896387	2.636859211	1.299125513
AC002366.3	1.608122063	1.770512913	1.574562483	1.338251239
AC002398.12	1.383918057	1.272842695	1.549163586	1.377551032
AC002398.13	1.712261571	1.613044233	1.742374336	1.946444927
AC002398.9	2.359190503	2.054225422	2.294200442	2.190545741
AC002400.1	1.908462258	1.800892054	2.761423533	2.800489251
AC002451.3	1.584490841	1.887284637	1.682437539	1.498478948
AC002454.1	1.381618743	1.254172076	1.511118243	1.489616367
AC002456.2	2.11926668	1.381364904	2.074651823	1.649836336
AC002467.7	2.637696145	3.286852019	2.274068032	5.132639907
AC002480.3	1.591136895	3.268375108	1.698986601	1.784060414
AC002480.4	1.466019909	2.853832531	2.037225461	1.551097752
AC002480.5	1.536486746	2.647903769	1.946752327	1.601634559
AC002486.3	1.333805026	1.396624186	1.546690799	1.376317103
AC002511.2	1.444631093	1.220896387	1.412729662	1.436125431
AC002511.3	1.50627337	1.288882922	1.477049634	1.555329602
AC002543.2	2.028184362	2.602732081	2.101387662	2.906967168
AC002550.5	1.628845984	1.552296266	1.492586092	1.749578388
AC002550.6	1.578372392	1.533943562	1.514075202	1.800176186
AC002984.2	1.845469512	1.601727173	1.46466479	2.073874048
AC003003.5	1.383312478	1.243824813	1.431500067	1.513007232
AC003005.2	1.55500643	1.291540556	1.547410001	1.395338853
AC003006.7	2.022479182	2.014598256	1.540306542	1.918193985
AC003045.1	1.342315191	1.232862588	1.606317594	1.30369218
AC003075.4	2.370592005	2.024411634	2.308853069	3.208862703
AC003080.4	3.84207861	6.919267738	4.65371466	2.904852621
AC003084.2	1.333805026	1.246392724	1.670101551	1.347321699
AC003090.1	2.066454779	1.313344652	1.582222934	2.012685385
AC003092.1	1.521743678	1.331355477	1.603360142	1.62266887
AC003104.1	1.771768909	2.327825516	3.039896462	1.875510425
AC003958.2	1.35785556	1.241553023	1.453466941	1.490093939
AC003958.6	1.344706409	1.220896387	1.455235156	1.299125513
AC003984.1	1.347587009	1.258834836	1.538490929	1.301686283
AC003985.1	1.333805026	1.265730917	1.485041829	1.299125513
AC003986.6	2.128084803	1.247458678	1.503114306	1.335767248
AC003989.3	1.538954169	1.340233668	1.958255965	2.100745449
AC003989.4	1.858955243	1.529710441	2.058287533	3.771135442
AC003991.3	7.070109423	7.984910744	16.84949354	14.54219063
AC004009.1	1.399111472	1.266490497	1.536652423	1.450864614
AC004012.1	1.333805026	1.299033722	1.412729662	1.684780696
AC004019.10	1.543534873	1.553267551	1.598335546	1.819098466
AC004022.8	1.350056562	1.264811272	1.431782645	1.394304765
AC004057.1	15.16570837	25.87794707	16.26335383	20.47889883
AC004067.5	1.749426452	1.472734452	1.963238493	2.024457717
AC004069.2	1.520066788	1.539623764	2.302921453	2.160192419
AC004076.5	2.107621064	1.805761788	1.584465852	2.142334693
AC004076.7	1.426553002	1.301568441	1.543783145	1.666685625
AC004112.5	1.459041523	1.542011215	1.809285848	1.364886808
AC004112.7	1.568825489	2.012006589	2.494026772	1.529249888
AC004129.9	1.364035894	1.232158072	1.412729662	1.322887138
AC004158.1	1.710892747	1.702971287	2.029748947	1.94989862
AC004158.3	1.562926362	1.561289538	2.090882191	2.017460344
AC004231.2	1.348938502	1.226795917	1.429552835	1.551047705
AC004237.1	3.597204488	3.440139366	5.785569873	4.207870467
AC004381.6	3.280927053	3.240258972	3.04599728	4.948595946
AC004448.5	1.385083515	1.281459459	1.450841367	1.375738124
AC004453.8	1.512454289	1.502907149	1.71788083	1.588555933
AC004458.1	1.333805026	1.220896387	1.412729662	1.299125513
AC004471.9	1.912101618	1.688458525	2.550203568	3.338567192
AC004538.3	8.911786566	2.459747778	1.66015739	2.070190457
AC004540.4	1.548909383	3.188068715	1.772904346	1.592573615
AC004540.5	3.710821072	9.871711792	2.679456194	2.624606664
AC004593.3	1.794731754	2.886493127	7.22476943	2.943913146
AC004603.4	1.370159816	1.401225951	1.795988992	1.423660145
AC004623.2	1.380049532	1.320974159	1.596422771	1.497238295
AC004637.1	1.408005117	1.695927446	1.45040262	1.339802487
AC004656.1	1.368846102	1.243383386	1.504537926	1.417817213
AC004692.4	1.667743033	1.486279231	1.561222505	1.324118041
AC004702.2	1.449969671	1.239018058	1.56038411	1.336615639
AC004791.2	1.604672635	1.229640339	1.993541505	1.344587815
AC004813.1	8.701236571	10.73284443	15.5300092	23.24627747
AC004837.5	1.606122408	1.440139253	1.804442736	1.636606173
AC004862.6	1.368225154	1.40100877	1.552666035	1.31365392
AC004866.1	1.333805026	1.220896387	1.412729662	1.299125513
AC004870.4	1.337924967	1.28367302	1.499096143	1.840312577
AC004878.2	1.588610255	1.428861992	1.772193459	2.075197072
AC004878.8	1.641748303	1.482401161	1.624473821	1.636925746
AC004893.10	1.712266897	1.600028291	1.874541602	2.296480298
AC004893.11	4.411684744	3.896379068	3.677301443	5.795704001
AC004906.3	1.384622905	1.243287761	1.954353081	1.419747308
AC004920.3	1.446025611	1.272326987	1.438005872	1.473172682
AC004924.1	1.333805026	1.220896387	1.453936729	1.299125513
AC004938.5	1.333805026	1.401780007	1.655592442	1.3186233
AC004941.3	1.341136796	1.228023734	1.444998709	1.302812853
AC004945.1	1.968176601	1.65245104	1.412729662	1.491634623
AC004947.2	1.3380032	3.344081182	1.48373531	1.420342445
AC004951.6	4.933575145	3.885735384	6.088498045	8.606273043
AC004967.7	1.578884174	1.314880581	1.76747785	2.485979523
AC004980.10	2.850894969	2.133891405	2.30421519	4.404942012
AC004980.7	3.939780782	3.264271953	3.27588378	5.207543647
AC004987.9	1.348952142	1.460697163	1.4223862	1.343136527
AC004988.1	2.288548496	1.303193818	2.41672856	1.439183255
AC005009.2	1.643198774	1.509644081	1.46549695	1.481412604
AC005013.5	1.600139415	1.282353014	1.432273654	1.42234499
AC005017.2	1.333805026	1.272502917	1.46313069	1.312346053
AC005019.2	1.333805026	1.220896387	1.467072286	1.308620669
AC005034.2	1.333805026	1.237051578	1.53735825	1.299125513
AC005040.3	1.333805026	1.268529615	1.54289554	1.314717336
AC005042.2	1.945908223	2.298268259	1.628161599	2.98893061
AC005042.4	1.944038028	5.151512895	2.286348599	3.812958721
AC005062.2	5.323504197	4.311003055	4.120151303	7.585877772
AC005076.5	1.701997385	1.706863955	1.803037359	2.469679275
AC005077.14	1.518092542	1.26056234	1.639111839	2.985076706
AC005077.8	1.772256735	1.518924361	2.977189552	2.135985487
AC005082.12	1.452830486	1.28208869	1.590272606	1.869405236
AC005083.1	1.558653287	1.352580477	2.232954245	6.16462156
AC005104.3	1.664717106	1.531142311	1.732072379	2.046207063
AC005105.2	1.375585265	1.255356892	1.460879689	1.494761567
AC005154.6	26.39887357	25.95455284	32.86535547	40.71727488
AC005154.7	1.82227849	2.031895258	2.27022838	2.541774331
AC005154.8	1.492945894	1.362743005	1.807999095	2.096194199
AC005162.5	1.367302792	1.249672777	1.425099125	1.543838366
AC005176.2	1.333805026	1.345645529	1.457051552	1.301136341
AC005224.2	1.55783047	1.690954502	1.774751085	1.864488209
AC005227.1	1.333805026	1.220896387	1.412729662	1.299125513
AC005229.1	1.446148303	1.324764063	1.522713696	1.416661702
AC005229.5	1.333805026	1.220896387	1.478054987	1.320473069
AC005229.7	1.333805026	1.239281755	1.426796358	1.327533667
AC005235.1	1.366152811	1.515895605	1.717936008	1.324629147
AC005237.4	1.936951545	1.63712675	1.475717235	1.836540994
AC005253.2	2.674676436	3.346630211	2.496299986	3.690746294
AC005255.5	1.376566196	1.2634983	1.45621624	1.38192859
AC005255.6	1.356315361	1.266318232	1.412729662	1.306570631
AC005256.1	1.368889603	1.220896387	1.446214559	1.510072578
AC005264.2	1.375352968	2.000603907	2.924021339	1.629308148
AC005276.1	2.337065088	2.662775309	5.596102934	2.074293886
AC005281.1	1.346972486	1.240408773	1.469819445	1.68971605
AC005306.3	1.832222224	2.49469219	2.684328464	1.756258897
AC005307.3	1.359546733	1.323114748	1.808776999	1.392975037
AC005336.4	1.455499189	1.27820428	1.571941269	2.238677481
AC005336.5	1.333805026	1.255455144	1.412729662	1.524841376
AC005339.2	2.96762557	13.96726981	2.545605642	3.847916153
AC005351.1	1.403826678	1.391039382	1.442857134	2.107385523
AC005355.1	1.413385231	1.426265308	1.727109617	1.923420061
AC005355.2	1.443082436	1.3213941	1.432510484	2.228797469
AC005355.3	1.38525519	1.332698901	1.816792668	1.863477716
AC005477.1	1.486780575	1.407240235	1.739772294	1.558907023
AC005480.1	1.386494695	1.297289016	1.478711358	1.480307587
AC005487.2	1.333805026	1.265301632	1.45115373	1.325405877
AC005514.2	1.453155619	1.384675141	1.649185137	1.396613289
AC005517.3	2.574222696	2.180003151	2.573756832	3.333324558
AC005519.4	2.153439049	4.049485233	2.041596803	2.367767354
AC005522.7	1.494569339	1.305137882	1.671279525	1.660085724
AC005523.2	8.158110779	7.831402211	5.582913904	14.16523809
AC005532.5	1.489447901	1.298381179	1.549634053	1.956576876
AC005534.8	1.436412908	1.757246382	1.744744355	1.899379674
AC005537.2	1.696938327	1.37577666	1.606070724	2.777079609
AC005538.3	1.942917055	1.293804034	1.54794332	3.854202232
AC005538.5	1.333805026	1.404669102	1.412729662	1.299125513
AC005539.2	1.373568992	1.226443502	1.640912884	1.37240928
AC005562.1	9.05667368	8.090701949	5.251305098	11.83604809
AC005588.2	1.333805026	1.220896387	1.430558997	1.339841168
AC005592.1	1.411284323	1.287985488	1.429781375	1.59269784
AC005592.2	2.380606174	1.682582412	1.476717911	2.504105008
AC005593.2	1.999533471	2.545718629	2.162651003	2.413953983
AC005606.15	2.126503093	2.305285818	2.880082009	1.993584562
AC005609.16	1.912074301	1.452355915	1.53741568	1.707410136
AC005609.17	1.474848902	1.30332398	1.412729662	1.461544293
AC005609.18	1.410912646	1.27340554	1.428832725	1.868842366
AC005614.3	1.498178277	1.410363431	1.739754036	1.463532205
AC005616.1	1.351224355	1.314883443	1.511342802	1.336885558
AC005618.6	2.154070376	1.50645818	1.823545589	2.380476082
AC005618.8	1.478259059	1.322150227	1.424255441	1.495398334
AC005618.9	1.399208107	1.339292568	1.475679668	1.339841335
AC005682.5	6.920986787	3.770310758	4.098244812	8.513985309
AC005682.7	1.616124425	1.473016511	1.735457241	1.619340426
AC005722.4	1.333805026	1.259547389	1.698174466	1.302870929
AC005740.6	1.944830311	5.049133382	1.832167814	1.726134463
AC005741.2	1.360686372	1.242496153	1.471627702	1.375514886
AC005753.1	1.766343889	3.342833048	1.55591878	2.388681271
AC005780.1	1.344483277	1.290893179	1.530715167	1.299125513
AC005786.7	2.05093956	2.193533677	2.307004549	1.764162118
AC005795.1	1.420213853	1.55986701	1.501427614	1.510299161
AC005915.1	1.474759627	1.514755753	1.607182943	1.412730718
AC005944.2	2.594002869	2.172905724	2.224254703	1.721521641
AC006003.3	1.333805026	1.277241405	1.445405397	1.43965228
AC006011.4	1.51217345	1.392626274	1.906058171	1.729286149
AC006014.8	1.919775939	1.537749978	2.065108543	2.436171503
AC006019.4	1.352554168	1.276404348	1.563965003	1.362277363
AC006022.4	1.347395944	1.406011983	1.486656028	1.332959011
AC006026.12	1.333805026	1.220896387	1.412729662	1.299125513
AC006028.11	1.499690752	1.3688978	2.191157834	1.654635724
AC006042.6	1.333805026	1.957201243	1.75579362	2.040728232
AC006042.7	1.718484068	1.296749537	1.487231224	1.483310522
AC006042.8	1.518549189	1.593273547	2.740102545	2.976866686
AC006077.3	1.701686376	1.940526952	2.150396217	2.582492019
AC006116.13	1.385775046	1.26679177	1.502325412	1.379712191
AC006116.14	1.333805026	1.228795301	1.425176425	1.358451963
AC006116.15	1.477495002	1.382500371	1.638632351	1.485763826
AC006116.17	2.008873729	1.975986804	1.967948779	2.467598293
AC006116.19	1.558236731	1.80702206	1.592858557	1.819786181
AC006116.20	1.925185643	2.919886272	2.693209134	3.740510977
AC006116.21	1.46106242	1.260434622	1.470684513	1.371693237
AC006116.22	1.463137201	1.273341998	1.508900167	1.371449897
AC006116.24	1.487470961	1.610963535	1.574819974	1.509832668
AC006116.27	2.664568772	2.122695166	2.43200367	2.837038966
AC006126.4	1.333805026	1.95360836	1.412729662	1.299125513
AC006128.2	2.519102795	3.277847455	2.495165276	2.603600621
AC006129.1	3.208776768	14.74605154	6.184398097	1.882481651
AC006129.2	1.418922684	3.625831569	7.679874493	1.463072168
AC006129.3	1.333805026	1.684283721	3.483164937	1.342378539
AC006145.4	1.84707214	1.391676984	1.578818936	1.53679734
AC006159.5	1.501280894	2.102047519	1.531486791	1.481003342
AC006160.5	1.84326574	2.251021999	2.111016161	1.898828364
AC006195.2	1.641641017	1.52513055	1.828566535	2.087297809
AC006262.11	1.368106995	1.250277752	1.527411146	1.712973251
AC006262.5	2.009428363	1.338883559	1.895595224	2.704073518
AC006272.1	1.507086132	1.389172317	1.860507947	1.62240745
AC006272.2	1.373591156	1.363968119	2.375080033	1.314266728
AC006273.5	1.48896092	1.592517459	1.458146845	1.72827484
AC006277.2	1.454883981	1.445928214	1.66688365	2.021078927
AC006277.3	2.452101102	2.978406096	1.984563054	2.944100958
AC006288.1	1.333805026	1.220896387	1.498299113	1.299125513
AC006296.2	1.333805026	1.288480686	1.496933831	1.299125513
AC006326.3	1.491176252	1.420545239	2.039315434	1.377244119
AC006335.6	1.333805026	1.24227525	1.532503679	1.299125513
AC006355.3	1.612087228	1.358667859	1.661043841	1.340314238
AC006369.2	1.333805026	1.226785062	1.761469277	1.32924437
AC006390.4	1.333805026	1.260018125	1.450268046	1.299125513
AC006427.2	1.51532388	1.240677569	1.580827658	1.79260681
AC006449.2	1.604487235	1.220896387	1.412729662	1.299125513
AC006460.2	1.644354974	1.488297041	2.497907794	2.022528813
AC006461.2	1.461133243	1.367032535	1.55927054	1.458628348
AC006466.5	1.333805026	1.380971435	1.528670598	1.3253458
AC006486.10	1.85390765	1.62281668	1.711705849	2.078176145
AC006499.6	1.341038486	1.296691073	1.529401482	1.333737287
AC006538.8	1.363554372	1.529608877	3.187850007	1.378752116
AC006547.13	1.634419735	1.658464576	2.416197795	2.075322036
AC006547.14	1.379123099	1.801065206	1.417427176	1.448550455
AC006547.8	1.641859431	1.724455682	1.576505055	1.364289695
AC006548.28	1.732732477	1.804942464	2.579278883	1.856639756
AC006552.1	1.333805026	1.226504852	1.572244144	1.302247731
AC006557.1	1.333805026	1.220896387	1.456722321	1.299125513
AC006942.4	1.690299887	2.008738894	1.811298216	2.351899812
AC006946.12	1.677798234	2.220412498	2.157458727	1.795839607
AC006946.16	1.526927959	1.325076297	1.592235946	1.977681423
AC006978.6	6.42302697	5.987615382	9.841775658	18.66372349
AC006994.1	1.841352628	1.703798236	2.079138959	2.416567767
AC006994.3	1.356674757	1.250435761	1.627549601	1.536883585
AC007000.10	1.901455277	1.659097713	1.913790342	3.034105252
AC007000.11	1.430667711	1.284159309	1.651531555	1.976198803
AC007009.1	1.485491165	2.585179564	1.487568389	2.931261915
AC007016.3	1.573306037	1.446236269	1.8200431	1.620536451
AC007036.4	1.431477178	1.313696998	1.523879076	1.660381336
AC007036.5	2.004069159	1.881906975	1.819259434	1.828849972
AC007036.6	1.813315132	1.491753252	1.631709357	2.781846686
AC007038.7	2.820284216	2.617063912	2.902815908	3.591214704
AC007040.8	1.333805026	1.235119147	1.427967826	1.343078344
AC007041.2	1.471056025	1.482246678	1.795385303	2.248717579
AC007050.17	1.617059196	1.519255701	1.765554353	2.059557529
AC007064.24	1.554509963	1.659507948	2.316498524	2.126114555
AC007099.1	1.559085767	1.30881869	1.471866959	2.043439136
AC007126.1	1.355694076	1.408387082	1.640706552	1.321569374
AC007128.1	1.390740763	1.254763753	1.490477863	2.714724426
AC007131.2	1.333805026	1.381235112	1.711006562	1.37701722
AC007161.5	1.742267193	1.623078608	2.555217507	2.856153636
AC007163.11	1.365144493	1.235441497	1.424887019	1.339984673
AC007163.2	1.514863041	1.220896387	1.547848059	1.773105388
AC007182.6	1.352061254	1.307680922	1.662296601	1.423528332
AC007191.4	2.528181478	2.430755867	3.31794183	5.312550435
AC007192.6	1.985207362	1.896453689	3.523539616	2.144395015
AC007193.6	2.154820694	1.220896387	1.528359113	1.437858321
AC007204.2	1.407777152	1.283795577	1.412729662	1.359100955
AC007228.11	1.686638701	1.709887844	1.64338996	1.810254409
AC007228.8	1.359402972	1.275628777	1.412729662	1.334167451
AC007228.9	2.116473282	2.190792737	2.263128796	3.083328328
AC007237.2	1.787645076	1.545317691	1.6356953	1.582809832
AC007238.1	1.39485164	1.524291754	2.022882394	1.471087605
AC007246.3	3.866111507	3.373659431	3.555318823	4.953121437
AC007248.7	1.396537072	1.458664722	2.354268589	1.433601227
AC007255.8	1.419245716	1.491441662	1.780354561	2.411214518
AC007256.5	2.027158063	1.624069596	2.655784612	1.924230294
AC007277.3	1.3365328	1.220896387	1.419604119	1.540977944
AC007278.3	1.59407063	1.756748196	5.327234699	1.420330839
AC007279.1	1.706949522	1.449903205	1.645322416	1.503751366
AC007279.2	1.706908824	1.457114346	1.700927946	1.975295739
AC007282.6	1.422901881	1.229226678	1.448703019	1.518431032
AC007283.4	1.544908427	1.957599276	2.220670397	1.641823229
AC007283.5	1.462405686	1.639049062	1.692415436	1.743830465
AC007285.6	1.51257928	1.297071075	1.593959262	2.054414398
AC007285.7	1.605182003	1.44026265	1.624313087	2.046415227
AC007304.1	1.333805026	1.220896387	1.675893475	1.559485655
AC007319.1	2.61641051	4.266139737	1.5936898	2.71239857
AC007326.1	1.665097023	1.527727483	1.849219528	1.995143962
AC007327.5	1.405662859	1.307526017	1.6169539	1.486423999
AC007349.4	1.3439661	1.270498249	1.541040446	1.307899892
AC007349.5	1.393133952	1.415144012	1.705901172	1.367275447
AC007349.7	1.333805026	1.413248964	1.668533221	1.37577159
AC007362.3	2.671541336	2.297948263	2.611744282	2.715227444
AC007364.1	1.461585294	1.443770959	1.622572433	1.448686724
