"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"
"FAM134B"	"FAM134B"	0.956566662614605	0.25228418081342	-0.942008637078683	"IS01"	0.956566662614605
"C11orf74"	"C11orf74"	0.934560068229718	0.360228578488471	-0.980492511774827	"IS01"	0.934560068229718
"STBD1"	"STBD1"	0.840562015674862	0.496381660449384	-0.973039871787466	"IS01"	0.840562015674862
"SDC4"	"SDC4"	0.836006994979052	0.239139592744844	-0.833147690839626	"IS01"	0.836006994979052
"GJA1"	"GJA1"	0.816949715330571	0.652100642614465	-1.03543190467608	"IS01"	0.816949715330571
"FUT7"	"FUT7"	0.796764866426695	0.000645363710228787	-0.67384913539998	"IS01"	0.796764866426695
"COX7A1"	"COX7A1"	0.775972357235926	0.371230041338381	-0.852255918504563	"IS01"	0.775972357235926
"LAMP3"	"LAMP3"	0.76445935124832	0.264919640458647	-0.786301955669515	"IS01"	0.76445935124832
"TPSB2"	"TPSB2"	0.736402275894998	0.72435234598717	-1.00555502991352	"IS01"	0.736402275894998
"SEPW1"	"SEPW1"	0.711405491533268	0.100887058834525	-0.654707151872256	"IS01"	0.711405491533268
"LIPG"	"LIPG"	0.708772436866645	0.0779594849619067	-0.640356233883518	"IS01"	0.708772436866645
"UPP2"	"UPP2"	0.630294890259745	0.00197161630504347	-0.533832928570625	"IS01"	0.630294890259745
"LOC100287814"	"LOC100287814"	0.589801806130347	0.293001828579127	-0.653514579043501	"IS01"	0.589801806130347
"FUCA2"	"FUCA2"	0.545838468509232	0.0708234994778367	-0.498853792624931	"IS01"	0.545838468509232
"ANGPT2"	"ANGPT2"	0.525783405202138	0.468446379005592	-0.692183024766897	"IS01"	0.525783405202138
"RCAN2"	"RCAN2"	0.508981981885144	0.279901439381855	-0.578269221317246	"IS01"	0.508981981885144
"LOC100288944"	"LOC100288944"	0.508702226289746	0.132930824415617	-0.500307710284841	"IS01"	0.508702226289746
"FLJ40125"	"FLJ40125"	0.371914203589581	0.0861398696846665	-0.359935089986775	"IS01"	0.371914203589581
"FAM19A4"	"FAM19A4"	0.344977484293526	0.233090237111314	-0.414879721712583	"IS01"	0.344977484293526
"PARP9"	"PARP9"	0.338262039566012	0.0605489916459421	-0.317955140153168	"IS01"	0.338262039566012
"TSLP"	"TSLP"	0.319460783995497	0.167279549188378	-0.358506561545117	"IS01"	0.319460783995497
"SFTA1P"	"SFTA1P"	0.29531999035281	0.236470356999581	-0.374691654327723	"IS01"	0.29531999035281
"SUB1"	"SUB1"	0.241567401617308	-0.259411505403312	-0.0670085717407667	"IS01"	0.241567401617308
"LOC653198"	"LOC653198"	0.212601257913691	0.00586069988901465	-0.18281192512511	"IS01"	0.212601257913691
"LOC647281"	"LOC647281"	-0.441640070031992	1.95820941574166	-0.662274292710949	"IS02"	1.95820941574166
"XAGE2"	"XAGE2"	-0.431936458294925	1.72947681770519	-0.549512138314309	"IS02"	1.72947681770519
"LOC100288267"	"LOC100288267"	-0.273722747632947	1.63084257840581	-0.631088218881977	"IS02"	1.63084257840581
"SFTPA2"	"SFTPA2"	-0.371322133645539	1.59533783701893	-0.529810560863535	"IS02"	1.59533783701893
"HOXC12"	"HOXC12"	-0.249349646551476	1.4388413609554	-0.550151526170478	"IS02"	1.4388413609554
"GJB4"	"GJB4"	-0.296897205552806	1.41001847069661	-0.494716514079661	"IS02"	1.41001847069661
"ITGB6"	"ITGB6"	-0.175213428062083	1.3548037503113	-0.568376028961983	"IS02"	1.3548037503113
"ODZ2"	"ODZ2"	0.00783068820606306	1.30886114673033	-0.698807165536568	"IS02"	1.30886114673033
"LOC100129218"	"LOC100129218"	-0.31830744677281	1.21030305400497	-0.370999384279684	"IS02"	1.21030305400497
"FERMT1"	"FERMT1"	0.0762899414828757	1.17324671046367	-0.684956639919741	"IS02"	1.17324671046367
"MS4A2"	"MS4A2"	0.464586706181064	1.16699654153539	-1.00987972516544	"IS02"	1.16699654153539
"EPPK1"	"EPPK1"	-0.0268582870495661	1.05829826827755	-0.536974930546458	"IS02"	1.05829826827755
"HDC"	"HDC"	0.653018742289387	1.04455346971816	-1.10440821084547	"IS02"	1.04455346971816
"C1orf150"	"C1orf150"	0.257329339956319	1.0413968597756	-0.768261354980981	"IS02"	1.0413968597756
"LRRC8E"	"LRRC8E"	0.0197950505855962	1.01731788428396	-0.554738771970426	"IS02"	1.01731788428396
"EFNA1"	"EFNA1"	0.562804948962724	0.998377443775909	-1.00373013598482	"IS02"	0.998377443775909
"SLC6A11"	"SLC6A11"	0.237015104669918	0.975548777681442	-0.716266078966503	"IS02"	0.975548777681442
"ZFP42"	"ZFP42"	0.0250936209767733	0.924444718324946	-0.51010193451144	"IS02"	0.924444718324946
"C1orf170"	"C1orf170"	0.197549721752977	0.916079719902551	-0.651455808540188	"IS02"	0.916079719902551
"LOC728377"	"LOC728377"	0.451642361060346	0.914750744610915	-0.865538286999008	"IS02"	0.914750744610915
"BMP2"	"BMP2"	0.700891328058034	0.89811192910168	-1.06742982435773	"IS02"	0.89811192910168
"ARHGEF5"	"ARHGEF5"	0.484975257254428	0.89586920674749	-0.883729235656612	"IS02"	0.89586920674749
"STK32A"	"STK32A"	0.121813820385376	0.858779206356177	-0.557132784350766	"IS02"	0.858779206356177
"OR2A7"	"OR2A7"	0.231723566544375	0.836925832028633	-0.638482735973239	"IS02"	0.836925832028633
"LAMA3"	"LAMA3"	0.286307350703352	0.824594570840371	-0.678101223787808	"IS02"	0.824594570840371
"CPA3"	"CPA3"	0.74679346576518	0.820070384941115	-1.06495897463632	"IS02"	0.820070384941115
"TPSAB1"	"TPSAB1"	0.668585102072855	0.81565207465004	-0.996512587852926	"IS02"	0.81565207465004
"CTSG"	"CTSG"	0.503056050875973	0.780941226193659	-0.838233619389714	"IS02"	0.780941226193659
"PLEK2"	"PLEK2"	0.685155425687163	0.751095002769224	-0.976378692411781	"IS02"	0.751095002769224
